intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
1720613;2017;12;0;40;0;45;1;1;NA;NA;3;3;3;0.728;1.781;3331.5091243254046;2;6;1972
1721024;2017;12;0;32;0;55;2;2;12000;1;5;7;10;0.296;0.203;379.72844033579855;2;6;1962
1721127;2017;12;0;80;0;49;4;3;12300;1;9;4;7;0.534;0.473;884.7859718169098;2;3;1968
1721454;2017;12;0;42;0;47;2;1;NA;NA;5;7;10;0.296;1.27;2375.6409814111535;2;10;1970
1721458;2018;1;0;40;0;52;2;2;12000;1;9;4;10;0.445;0.249;465.77527903258044;1;12;1965
1721593;2018;3;0;38;0;50;2;2;12000;1;12;3;9;0.728;1.994;3729.9433991605038;1;11;1967
1721622;2018;2;0;38;0;61;2;2;12000;1;7;2;9;0.296;0.565;1056.8796492104736;2;10;1956
1721685;2017;12;0;30;0;54;2;1;NA;NA;5;4;9;0.421;0.524;980.185727763342;2;3;1963
1722490;2017;12;1;38;0;36;2;2;12000;1;5;4;5;0.802;1.34;2506.5818229062565;1;6;1981
1723113;2017;12;1;50;0;33;2;1;NA;NA;8;6;8;0.296;0.74;1384.2317529482311;1;9;1984
1724417;2018;1;1;50;0;42;2;1;NA;NA;9;2;7;1.145;0.727;1359.9141680991404;1;2;1975
1725354;2017;12;1;50;1;58;2;2;12000;1;14;7;10;0.445;0.211;394.69310793523886;1;4;1959
1728391;2018;1;1;50;0;51;2;1;NA;NA;3;4;7;0.445;0.4;748.2333799720169;1;9;1966
1732332;2018;1;1;40;0;37;2;1;NA;NA;16;6;8;0.296;0.25;467.6458624825105;1;9;1980
1733432;2017;12;1;60;0;55;2;3;12300;1;15;4;6;1.145;1.267;2370.029231061363;1;6;1962
1733920;2018;3;1;35;0;27;1;1;NA;NA;9;3;7;0.421;2.024;3786.0609026584048;2;1;1991
1734496;2018;1;1;45;0;38;2;2;12000;1;5;5;8;0.267;1.996;3733.6845660603635;2;10;1979
1735865;2017;12;1;50;0;36;2;1;NA;NA;9;4;9;0.534;0.37;692.1158764741156;1;6;1981
1742176;2018;3;1;55;0;40;3;2;12000;1;9;3;6;0.472;0.249;465.77527903258044;1;6;1977
1744645;2017;12;1;60;1;40;4;3;12300;1;8;4;7;0.382;0.784;1466.5374247451527;1;12;1977
1745104;2017;12;1;20;0;35;2;1;12000;1;5;3;3;0.534;0.729;1363.6553349990006;2;7;1982
1745109;2017;12;1;41;0;31;2;2;12000;1;5;7;10;0.572;0.795;1487.1138426943833;1;8;1986
1745348;2018;1;1;12;0;27;3;2;12000;1;7;3;3;0.296;0.333;622.9042888267039;1;11;1990
1747456;2018;2;1;40;0;51;2;2;12000;1;5;7;10;0.572;0.486;909.1035566660004;1;4;1966
1748346;2018;1;1;75;0;55;4;3;12300;1;12;1;1;0.296;1.196;2237.2178061163304;1;9;1962
1748412;2017;12;1;40;0;35;3;1;NA;NA;12;4;4;0.296;0.308;576.1397025784529;2;10;1982
1749422;2018;1;1;32;0;35;2;2;12000;1;3;3;7;0.728;0.715;1337.46716669998;1;10;1982
1753681;2017;12;0;30;1;44;2;2;12000;1;9;4;10;0.534;0.244;456.4223617829302;2;9;1973
1758581;2017;12;0;40;0;58;4;1;NA;NA;14;7;10;0.534;1.069;1999.653707975215;1;12;1959
1758640;2018;1;0;40;0;60;1;1;NA;NA;9;4;7;0.296;0.943;1763.9601932840296;1;6;1957
1762829;2017;12;0;30;0;37;2;2;12000;1;1;1;9;0.32;1.318;2465.4289870077955;2;9;1980
1763643;2018;1;0;30;0;39;2;2;12000;1;9;7;10;0.534;0.254;475.12819628223065;2;2;1978
1765552;2018;1;0;42;0;38;2;2;12000;1;9;1;4;0.421;0.204;381.59902378572855;1;4;1979
1767591;2018;3;0;30;0;54;2;1;NA;NA;8;3;3;0.445;0.672;1257.0320783529883;2;3;1964
1769521;2018;2;0;50;0;62;2;2;12000;1;16;1;4;0.445;0.725;1356.1730011992802;1;6;1955
1771122;2018;3;0;40;0;67;4;1;NA;NA;8;4;4;0.267;0.596;1114.867736158305;2;8;1950
1773008;2018;1;0;60;0;46;4;1;NA;NA;5;3;3;0.296;0.785;1468.408008195083;1;2;1971
1774339;2018;1;0;40;0;60;2;2;12000;1;14;7;10;0.534;0.752;1406.6787543473915;1;8;1957
1775387;2018;1;0;28;0;34;2;2;12000;1;3;4;4;0.534;0.581;1086.8089844093543;2;6;1983
1778848;2018;3;0;40;0;58;1;1;NA;NA;14;3;4;0.296;0.205;383.4696072356586;1;1;1960
1781000;2018;2;0;50;0;52;1;1;NA;NA;16;2;5;0.534;1.571;2938.686599840096;1;11;1965
1783393;2018;1;0;42;0;53;3;2;12000;1;12;4;10;0.445;0.801;1498.3373433939637;1;5;1964
1785172;2018;1;0;25;0;54;2;1;NA;NA;8;3;9;0.534;0.44;823.0567179692184;2;8;1963
1785337;2018;1;0;45;1;44;2;2;12000;1;9;3;9;0.534;0.606;1133.5735706576054;1;2;1973
1786760;2017;12;0;25;0;59;2;1;NA;NA;9;7;10;0.333;0.208;389.0813575854487;1;12;1958
1787627;2018;1;0;40;0;50;2;2;99999;9;9;3;9;0.267;0.208;389.0813575854487;1;11;1967
1790400;2018;1;0;45;0;54;2;2;12000;1;1;3;10;0.296;0.295;551.8221177293624;1;2;1963
1795360;2017;12;0;55;0;59;4;1;NA;NA;9;7;10;0.296;0.77;1440.3492564461324;1;2;1958
1795872;2018;1;0;39;0;34;2;2;12000;1;11;7;10;0.534;0.323;604.1984543274035;2;2;1983
1796132;2018;1;0;30;0;41;2;1;NA;NA;11;7;10;0.534;0.319;596.7161205276834;2;7;1976
1800618;2018;1;0;40;0;47;2;1;NA;NA;3;4;9;0.534;0.89;1664.8192704377373;2;2;1970
1802459;2017;12;0;20;0;69;2;2;12000;1;3;5;8;0.296;0.604;1129.8324037577454;2;7;1948
1808619;2018;1;0;19;0;50;2;1;NA;NA;5;4;9;1.145;1.746;3266.0387035778535;2;10;1967
1811939;2018;1;0;55;0;57;3;2;99999;9;5;4;7;2;1.774;3318.4150401758943;1;3;1960
1812243;2018;2;0;30;1;32;2;2;12000;1;5;4;5;0.572;0.955;1786.40719468319;1;4;1985
1814981;2018;1;0;44;0;53;2;1;NA;NA;6;4;10;1.145;0.638;1193.4322410553668;1;12;1964
1817974;2018;1;0;42;0;51;2;2;12000;1;6;3;4;1.145;0.731;1367.3965018988606;1;5;1966
1821041;2018;1;0;40;0;9999;2;1;NA;NA;7;3;3;0.534;0.526;983.9268946632021;2;99;9999
1827075;2017;12;0;18;0;43;2;1;21000;0;8;4;7;0.802;0.725;1356.1730011992802;2;2;1974
1827214;2017;12;0;35;0;49;2;1;NA;NA;8;3;7;0.445;0.672;1257.0320783529883;2;8;1968
1829581;2018;1;0;30;0;55;2;1;NA;NA;9;1;9;0.296;0.209;390.9519410353788;2;2;1962
1829807;2018;1;0;40;0;53;2;1;NA;NA;9;2;7;0.296;0.204;381.59902378572855;1;10;1964
1830171;2018;2;0;35;0;40;3;2;12000;1;9;3;3;0.296;0.22;411.5283589846092;2;4;1977
1830223;2018;1;0;65;0;59;4;NA;NA;NA;9;3;3;0.296;0.211;394.69310793523886;2;6;1958
1830675;2018;2;0;10;0;49;2;1;NA;NA;9;3;7;0.534;0.309;578.0102860283829;2;3;1968
1832802;2018;2;0;40;0;50;2;1;NA;NA;9;7;10;0.572;0.309;578.0102860283829;2;7;1967
1833070;2018;2;0;43;0;62;2;3;12300;1;9;3;9;0.296;0.207;387.21077413551865;2;2;1956
1838336;2018;2;0;50;1;57;3;1;NA;NA;13;2;5;0.472;0.294;549.9515342794323;1;8;1960
1846781;2018;2;0;50;0;35;3;1;NA;NA;1;2;9;0.728;0.756;1414.1610881471117;1;12;1982
1847723;2018;3;0;16;0;45;2;2;12000;1;1;3;3;0.445;0.411;768.8097979212472;2;8;1972
1848397;2018;1;0;45;0;61;2;1;NA;NA;2;7;10;0.534;0.392;733.2687123725764;2;3;1956
1849025;2018;1;0;39;0;56;2;1;NA;NA;2;7;10;0.925;3.481;6511.500989206475;1;12;1961
1852479;2017;12;0;20;1;49;2;2;12000;1;3;1;1;0.296;0.219;409.65777553467916;2;2;1968
1853180;2017;12;0;19;0;52;2;1;NA;NA;3;3;7;1.145;1.467;2744.1459210473718;2;11;1965
1857347;2018;2;0;10;0;56;5;1;NA;NA;5;6;8;0.296;1.975;3694.402313611833;2;12;1961
1858272;2018;2;0;40;0;35;2;1;NA;NA;5;3;3;0.728;1.27;2375.6409814111535;1;10;1982
1861173;2018;2;0;39;0;53;2;1;NA;NA;5;3;3;0.728;0.458;856.7272200679593;1;4;1964
